name,Predicted Points,position,team,value,total_points
Christian Eriksen,25.986158,MID,Man Utd,5.9,27
Sofyan Amrabat,25.921528,MID,Man Utd,5.0,26
Solly March,25.72238,MID,Brighton,6.5,24
Saman Ghoddos,24.950027,MID,Brentford,4.5,26
Cheick Doucouré,24.801115,MID,Crystal Palace,5.0,21
Oliver Norwood,24.177866,MID,Sheffield Utd,4.8,29
Nicolò Zaniolo,23.31198,MID,Aston Villa,5.4,24
Ben Osborn,22.858768,MID,Sheffield Utd,4.8,34
Thomas Partey,22.541748,MID,Arsenal,4.8,18
Luke Berry,22.495237,MID,Luton,4.6,28
Anssumane Fati Vieira,22.122026,MID,Brighton,6.5,21
James Milner,21.711882,MID,Brighton,4.8,22
André Tavares Gomes,21.603155,MID,Everton,4.4,20
Amad Diallo,20.855478,MID,Man Utd,4.4,23
Elliot Anderson,18.509176,MID,Newcastle,4.2,23
Andre Brooks,18.506466,MID,Sheffield Utd,4.4,24
Oliver Arblaster,18.208435,MID,Sheffield Utd,4.5,19
Joe Willock,17.949541,MID,Newcastle,5.3,18
Jakub Moder,17.916887,MID,Brighton,4.4,21
Matheus Luiz Nunes,17.69822,MID,Man City,4.8,14
Pierre-Emile Højbjerg,17.49401,MID,Spurs,5.2,26
Shandon Baptiste,17.130772,MID,Brentford,4.3,18
Kevin Schade,16.03224,MID,Brentford,5.4,15
Mason Mount,15.165763,MID,Man Utd,6.8,18
Sandro Tonali,15.113636,MID,Newcastle,5.5,13
Arnaut Danjuma Groeneveld,14.06327,MID,Everton,5.5,16
Leander Dendoncker,13.851302,MID,Aston Villa,4.9,20
David Brooks,13.576446,MID,Bournemouth,4.9,12
Lewis Dobbin,13.315403,MID,Everton,4.5,18
Hannibal Mejbri,13.24161,MID,Man Utd,4.4,11
Matt Ritchie,12.319946,MID,Newcastle,4.3,11
Harrison Reed,12.041903,MID,Fulham,4.8,11
Yegor Yarmoliuk,11.564841,MID,Brentford,4.3,16
Marvelous Nakamba,11.336907,MID,Luton,4.4,17
Maxwel Cornet,11.240816,MID,West Ham,5.2,12
Aaron Ramsey,11.074288,MID,Burnley,5.0,18
Bryan Gil Salvatierra,10.59477,MID,Spurs,4.9,12
Reiss Nelson,10.139895,MID,Arsenal,4.8,9
Manor Solomon,9.645498,MID,Spurs,5.4,10
Matheus França de Oliveira,9.281874,MID,Crystal Palace,4.8,11
Julio Enciso,8.994936,MID,Brighton,5.0,12
Mahmoud Dahoud,8.481747,MID,Brighton,4.8,10
Saïd Benrahma,8.258419,MID,West Ham,5.9,8
Fred Onyedinma,8.139315,MID,Luton,5.0,11
Pelly Ruddock Mpanzu,7.984476,MID,Luton,4.7,14
Facundo Pellistri Rebollo,7.729929,MID,Man Utd,4.4,11
Lesley Ugochukwu,7.5392494,MID,Chelsea,4.4,11
Giovanni Reyna,6.90452,MID,Nott'm Forest,4.7,10
Anis Slimane,6.892524,MID,Sheffield Utd,4.7,13
Omari Forson,6.6932554,MID,Man Utd,4.4,7
Boubacar Traoré,6.5802946,MID,Wolves,4.3,13
George Earthy,6.1401787,MID,West Ham,4.5,8
Mike Trésor,5.962035,MID,Burnley,5.5,10
Oliver Skipp,5.5725336,MID,Spurs,4.6,10
Jairo Riedewald,5.4200716,MID,Crystal Palace,4.4,7
Tim Iroegbunam,5.4043846,MID,Aston Villa,4.4,10
Kalvin Phillips,5.3870535,MID,West Ham,4.7,6
Mohamed Elneny,5.3066645,MID,Arsenal,4.4,6
Tom Davies,5.141362,MID,Sheffield Utd,5.0,7
Naouirou Ahamada,5.09641,MID,Crystal Palace,4.3,13
Pablo Fornals Malla,4.965191,MID,West Ham,4.6,6
Jesurun Rak-Sakyi,4.957596,MID,Crystal Palace,4.5,8
Carney Chukwuemeka,4.9180527,MID,Chelsea,4.2,10
Joe Rothwell,4.513421,MID,Bournemouth,5.0,5
Cesare Casadei,4.457638,MID,Chelsea,4.5,11
Tawanda Chirewa,4.4325323,MID,Wolves,4.4,8
Tyler Adams,4.322276,MID,Bournemouth,4.9,5
David Ozoh,4.1626816,MID,Crystal Palace,4.5,8
Cheikhou Kouyaté,4.035497,MID,Nott'm Forest,4.8,7
Ian Maatsen,3.9896562,MID,Chelsea,5.1,5
John Fleck,3.6961176,MID,Sheffield Utd,4.9,3
Bobby Clark,3.510025,MID,Liverpool,4.4,5
Jaidon Anthony,3.1772969,MID,Bournemouth,5.0,3
Nathan Redmond,3.167333,MID,Burnley,4.9,2
Anass Zaroury,2.8192213,MID,Burnley,4.8,2
Manuel Benson Hedilazio,2.4910424,MID,Burnley,5.2,5
Michael Olakigbe,2.4391487,MID,Brentford,4.5,7
Luke Harris,2.2662032,MID,Fulham,4.5,2
Jadon Sancho,1.9331223,MID,Man Utd,7.0,2
Romain Faivre,1.7460952,MID,Bournemouth,5.0,4
Benicio Baker-Boaitey,1.5021443,MID,Brighton,4.5,4
Omari Kellyman,1.1697414,MID,Aston Villa,4.5,2
Hamed Traorè,1.1510391,MID,Bournemouth,4.9,1
Philippe Coutinho Correia,0.8740323,MID,Aston Villa,6.0,2
Yegor Yarmolyuk,0.8668866,MID,Brentford,4.4,3
Joe White,0.35405582,MID,Newcastle,4.5,3
Roméo Lavia,0.30226266,MID,Chelsea,4.9,1
Stefan Bajcetic,0.2563985,MID,Liverpool,4.7,1
Myles Peart-Harris,0.25172266,MID,Brentford,4.5,3
Jack Cork,0.24858584,MID,Burnley,4.9,1
Ethan Nwaneri,0.24610811,MID,Arsenal,4.5,1
Josh Dasilva,0.24426116,MID,Brentford,4.7,2
Han-Noah Massengo,0.24300139,MID,Burnley,4.9,2
Bertrand Traoré,0.24054885,MID,Aston Villa,5.0,2
Ben Doak,0.23818536,MID,Liverpool,4.5,1
James McConnell,0.22462556,MID,Liverpool,4.4,3
Sydie Peck,0.20658574,MID,Sheffield Utd,4.5,1
Ryan Oné,0.20338655,MID,Sheffield Utd,4.5,1
Michale Olakigbe,0.19783022,MID,Brentford,4.5,1
Thiago Alcántara do Nascimento,0.19656523,MID,Liverpool,4.7,1
Andrey Nascimento dos Santos,0.18992418,MID,Nott'm Forest,4.4,1
Jaden Philogene-Bidace,0.17903163,MID,Aston Villa,4.5,1
Mikey Moore,0.17497823,MID,Spurs,4.5,2
Donny van de Beek,0.1737195,MID,Man Utd,4.8,1
Zack Nelson,0.164655,MID,Luton,4.5,2
Daniel Gore,0.15950398,MID,Man Utd,4.5,1
Kaide Gordon,0.15893707,MID,Liverpool,4.5,1
Amadou Diallo,0.15647289,MID,Newcastle,4.5,1
Tyler Onyango,0.1380065,MID,Everton,4.5,1
Dominic Sadi,0.13755016,MID,Bournemouth,4.5,1
