name,Predicted Points,position,team,value,total_points
Mads Juel Andersen,10.160028,DEF,Luton,4.0,13
Reece James,9.863674,DEF,Chelsea,5.3,10
Tino Livramento,9.819798,DEF,Newcastle,4.1,8
Ameen Al-Dakhil,9.717352,DEF,Burnley,3.8,9
Scott McKenna,9.384832,DEF,Nott'm Forest,4.5,12
Rico Henry,9.1878195,DEF,Brentford,4.5,9
Emerson Leite de Souza Junior,8.899483,DEF,Spurs,4.5,13
Andrew Omobamidele,8.856859,DEF,Nott'm Forest,4.5,11
Luke Thomas,8.8331585,DEF,Sheffield Utd,4.0,7
George Baldock,8.486023,DEF,Sheffield Utd,3.9,9
Radu Dragusin,8.483719,DEF,Spurs,4.2,11
Felipe Augusto de Almeida Monteiro,8.448355,DEF,Nott'm Forest,4.4,7
Angelo Ogbonna,8.369632,DEF,West Ham,4.3,14
Nuno Varela Tavares,8.333698,DEF,Nott'm Forest,4.0,11
Connor Roberts,7.3594675,DEF,Burnley,4.4,6
Mason Holgate,7.30165,DEF,Sheffield Utd,4.0,1
Ben Chilwell,7.179121,DEF,Chelsea,5.4,9
Hjalmar Ekdal,7.0821238,DEF,Burnley,3.9,15
Max Lowe,6.483531,DEF,Sheffield Utd,4.3,10
Daiki Hashioka,6.2482777,DEF,Luton,4.0,4
Aaron Cresswell,5.885394,DEF,West Ham,4.2,10
Valentín Barco,5.765012,DEF,Brighton,4.0,5
Calum Chambers,5.4881296,DEF,Aston Villa,3.8,6
Lisandro Martínez,5.346447,DEF,Man Utd,4.7,10
Hannes Delcroix,4.6354504,DEF,Burnley,4.0,7
Odeluga Offiah,4.509117,DEF,Brighton,4.0,4
Ryan Giles,4.122464,DEF,Luton,4.5,4
Sergio Gómez,3.8015678,DEF,Man City,3.8,4
Willy Kambwala,3.5297666,DEF,Man Utd,4.0,2
Yasser Larouci,3.474861,DEF,Sheffield Utd,4.5,4
John Egan,3.359814,DEF,Sheffield Utd,4.5,4
Ivan Perišić,3.1073892,DEF,Spurs,4.9,4
Matt Targett,2.9966238,DEF,Newcastle,4.4,1
Rhys Norrington-Davies,2.979917,DEF,Sheffield Utd,3.9,2
Chris Basham,2.9759634,DEF,Sheffield Utd,4.0,8
Fodé Ballo-Touré,2.946925,DEF,Fulham,4.5,5
James Hill,2.9417257,DEF,Bournemouth,4.0,5
Eric Dier,2.9413576,DEF,Spurs,4.2,2
Davinson Sánchez,2.7126133,DEF,Spurs,4.5,0
Cédric Alves Soares,1.6809862,DEF,Arsenal,3.9,2
Joseph Johnson,1.4990342,DEF,Luton,4.0,0
Paul Dummett,0.6397226,DEF,Newcastle,3.9,5
Jurriën Timber,0.2906738,DEF,Arsenal,5.0,0
Aymeric Laporte,0.24555652,DEF,Man City,5.0,1
Alex Murphy,0.24272597,DEF,Newcastle,3.9,2
Sam Curtis,0.23899275,DEF,Sheffield Utd,4.0,1
Thilo Kehrer,0.2384587,DEF,West Ham,4.5,1
Tyrone Mings,0.23594142,DEF,Aston Villa,4.5,0
Kaine Kesler-Hayden,0.22823702,DEF,Aston Villa,4.0,3
James Tomkins,0.21125633,DEF,Crystal Palace,4.0,2
Owen Beck,0.18498999,DEF,Liverpool,4.5,1
Josh Acheampong,0.18202052,DEF,Chelsea,4.0,1
Finley Munroe,0.17676392,DEF,Aston Villa,4.0,1
Jonathan Castro Otto,0.17643982,DEF,Wolves,4.4,1
Kaelan Casey,0.1337567,DEF,West Ham,4.0,1
Reuell Walters,0.1166586,DEF,Arsenal,4.0,0
James Sweet,0.09916875,DEF,Arsenal,4.0,0
Callum Scanlon,0.087543756,DEF,Liverpool,3.9,0
Luke Chambers,0.079430744,DEF,Liverpool,4.0,0
Amara Nallo,0.07709685,DEF,Liverpool,4.0,0
Alfie Dorrington,0.07283722,DEF,Spurs,4.0,0
Rhys Bennett,0.07113585,DEF,Man Utd,4.0,0
Javier Manquillo Gaitán,0.07102293,DEF,Newcastle,4.0,0
Noël Atom,0.07077679,DEF,Brighton,4.0,0
Zak Sturge,0.0698102,DEF,Chelsea,4.0,0
Bashir Humphreys,0.068754256,DEF,Chelsea,4.0,0
Benjamin Arthur,0.06853399,DEF,Brentford,4.0,0
Max Kinsey,0.06789391,DEF,Bournemouth,4.0,0
Elijah Campbell,0.06722227,DEF,Everton,4.0,0
Ryan Fredericks,0.0666388,DEF,Bournemouth,4.4,0
Luke McNally,0.0666164,DEF,Burnley,4.0,0
Bobby Thomas,0.066613406,DEF,Burnley,4.0,0
Steve Cook,0.06661308,DEF,Nott'm Forest,4.5,0
Michał Karbownik,0.06661254,DEF,Brighton,4.0,0
Harrison Ashby,0.066610634,DEF,Newcastle,4.0,0
Leigh Kavanagh,0.06639519,DEF,Brighton,4.0,0
Ethan Ampadu,0.0663124,DEF,Chelsea,4.0,0
Ryan Sessegnon,0.0662739,DEF,Spurs,4.5,0
Oliver Scarles,0.0662131,DEF,West Ham,4.0,0
Jamal Lewis,0.066208005,DEF,Newcastle,4.0,0
Aidan Francis-Clarke,0.066145375,DEF,Luton,4.0,0
Alex Telles,0.066042945,DEF,Man Utd,4.5,0
